fecha,avg_monthly_price
2011-02-10,105.68437985714286
2011-03-10,79.7267019032258
2011-04-10,73.41635112222222
2011-05-10,58.49071407526882
2011-06-10,60.06163481111111
2011-07-10,55.513861784946236
2011-08-10,88.97861669892474
2011-09-10,92.50953437777777
2011-10-10,72.86567944086022
2011-11-10,70.53858275555555
2011-12-10,55.756056483870964
2012-01-10,53.61037947311828
2012-02-10,78.49598144827587
2012-03-10,119.10521388172043
2012-04-10,56.99427418888889
2012-05-10,46.858692741935485
2012-06-10,87.35270906666666
2012-07-10,79.17754592473118
2012-08-10,140.26220102150538
2012-09-10,183.37784013333334
2012-10-10,198.0038062795699
2012-11-10,166.9982269888889
2012-12-10,180.3391705376344
2013-01-10,184.45569695698924
2013-02-10,181.17711414285714
2013-03-10,137.53884632258067
